FishID,Lake,Mass_g,Ectoparasites_YN,SL_mm,BodyDepth,BuccalCavityLength,Sex_MFU,ProcessedBy.1,GapeWidth,PteroticWidth,RakerNum,ProcessedBy.2,Caudal peduncle,Jaw Length,Snout Length,Eye Diameter,Head Length,TL,RakerLength1,RakerLength2,RakerLength3,RakerLength4,IRSpace1,IRSpace2,IRSpace3,,Notes,,,,,,,
S180101,Arc,1.74,N,54.42,13.73,11.33,U,Louis,,,,,0.24970406,0.47370826,0.56695464,0.43640451,1.79128074,6.1257061,,,,,,,,,,,,,,,,
S180102,Arc,2.96,N,60.54,15.92,11.2,F,Louis,,,,,0.27036057,0.31710857,0.4368889,0.42545639,1.75465522,6.30202705,,,,,,,,,,,,,,,,
S180103,Arc,3.74,N,62.04,15.85,11.24,F,Louis,3.55,6.68,23,Grant,0.25043479,0.42060236,0.50011456,0.47098091,1.85900774,6.70456557,,,,,,,,,,,,,,,,
S180104,Arc,3.08,N,57.72,14.44,11.3,F,Louis,,,,,0.22161685,0.38258617,0.50074699,0.47039711,1.78659486,6.57163827,,,,,,,,,,,,,,,,
S180105,Arc,1.26,N,48.05,11.32,9.85,F,Louis,,,,,0.20376969,0.27712368,0.40753938,0.38729667,1.41053447,4.97309579,,,,,,,,,,,,,,,,
S180106,Arc,0.8,N,43.97,10.15,9.56,M,Louis,,,,,0.20424008,0.25703402,0.4049088,0.38943293,1.40170493,4.70551852,,,,,,,,,,,,,,,,
S180107,Arc,0.74,N,41.22,9.65,8.47,U,Louis,1.96,4.4,23,Grant,0.17186157,0.25193344,0.31867302,0.35968544,1.237846,4.5465198,,,,,,,,,Seems like little tumor on the left side,,,,,,,
S180108,Arc,0.65,N,43.99,9.39,8.73,F,Louis,2.01,4.57,23,Grant,0.12801407,0.24544655,0.3120149,0.34187105,1.24223844,4.73455449,,,,,,,,,,,,,,,,
S180109,Arc,1.02,N,48,11.13,8.91,F,Louis,,,,,0.17577879,0.24860069,0.37005786,0.39337973,1.32080416,5.24244267,,,,,,,,,,,,,,,,
S180110,Arc,0.88,N,47.04,10.63,9.74,F,Louis,,,,,0.17757485,0.2859212,0.31304673,0.40763564,1.24634649,5.09339487,,,,,,,,,,,,,,,,
S180111,Arc,0.87,N,41.74,9.56,9.35,U,Bailey,,,,,0.20278387,0.30050663,0.33147916,0.38417946,1.3330983,4.62407291,,,,,,,,,,,,,,,,
S180112,Arc,1.09,N,44.25,10.55,8.87,F,Bailey,,,,,0.17726563,0.29341146,0.33182292,0.38033854,1.32833333,4.95867188,,,,,,,,,,,,,,,,
S180113,Arc,2.05,N,56.33,13.46,11.11,F,Bailey,,,,,0.26243498,0.33703963,0.37022917,0.47577764,1.57359147,6.08178048,,,,,,,,,,,,,,,,
S180114,Arc,3.17,N,63.74,15.04,13.75,F,Bailey,,,,,0.2811384,0.43588035,0.40740471,0.46144075,1.81062397,6.91991941,,,,,,,,,,,,,,,,
S180115,Arc,2.45,N,56.74,13.79,13.12,M,Bailey,,,,,0.27425326,0.38961313,0.45766886,0.49192085,1.78803843,6.25313779,,,,,,,,,,,,,,,,
S180116,Arc,2.41,N,56.59,13.41,14.73,M,Bailey,,,,,0.25260417,0.42867188,0.51244792,0.52111979,1.81356771,6.28182292,,,,,,,,,,,,,,,,
S180117,Arc,0.77,N,38.79,9.59,8.33,U,Grant,,,,,0.21022009,0.28552629,0.32244109,0.38427663,1.25075125,4.29465526,,,,,,,,,,,,,,,,
S180118,Arc,0.91,N,45.37,9.92,10.5,F,Grant,,,,,0.18333927,0.29375118,0.32215253,0.38450464,1.21620631,5.04510188,,,,,,,,,,,,,,,,
S180119,Arc,1.02,N,45.68,10.95,9.06,F,Grant,,,,,0.20022459,0.32299175,0.35568787,0.41436854,1.39645357,5.13945472,,,,,,,,,,,,,,,,
S180120,Arc,1,N,44.04,10.35,8.89,F,Grant,,,,,0.18090953,0.30037417,0.33423632,0.39731594,1.34470375,4.85751947,,,,,,,,,,,,,,,,
S180121,Arc,1.74,N,53.57,11.81,10.05,F,Bailey,,,,,0.22918467,0.39813841,0.38884609,0.47890616,1.61392339,5.91949775,,,,,,,,,,,,,,,,
S180122,Arc,2.5,N,60.38,13.76,13.12,M,Bailey,,,,,0.27346163,0.40171734,0.49905774,0.53716327,1.94987099,6.60541576,,,,,,,,,,,,,,,,
S180123,Arc,1.17,N,46.7,10.61,10.33,F,Bailey,,,,,0.18593993,0.28086484,0.32900052,0.40556706,1.34645262,4.99875712,,,,,,,,,,,,,,,,
S180124,Arc,0.95,N,44.17,10,9.39,U,Bailey,,,,,0.19617235,0.33791312,0.35012183,0.40018014,1.40665674,4.6394396,,,,,,,,,,,,,,,,
S180125,Arc,1.22,N,45.28,10.31,10.13,F,Grant,,,,,0.18518229,0.28263021,0.30604167,0.37085938,1.28473958,4.89364583,,,,,,,,,,,,,,,,
S180126,Arc,1.91,N,54.22,12.85,12.76,U,Grant,,,,,0.23657016,0.34243225,0.45183262,0.49447405,1.71239541,5.74865754,,,,,,,,,,,,,,,,
S180127,Arc,2.1,N,60.44,13.86,12.98,F,Grant,,,,,0.24543328,0.35786277,0.4104705,0.45151495,1.74519629,6.42470584,,,,,,,,,,,,,,,,
S180128,Arc,2.07,N,59.05,13.31,12.44,F,Grant,,,,,0.23426031,0.39394775,0.38783096,0.48450238,1.71652941,6.29082637,,,,,,,,,,,,,,,,
S180129,Arc,0.97,N,46.12,10.14,9.38,F,Grant,,,,,0.19636784,0.29417297,0.33212993,0.42444919,1.34288745,5.24553163,,,,,,,,,,,,,,,,
S180130,Arc,0.87,N,42.64,9.99,8.55,F,Grant,,,,,0.16824548,0.27001944,0.33108382,0.38320561,1.29818341,4.60202872,,,,,,,,,,,,,,,,
S180131,Arc,3.42,N,67.23,15.49,15.32,F,Bailey,,,,,0.26612831,0.43494262,0.43791303,0.54500576,1.82914583,7.40669474,,,,,,,,,,,,,,,,
S180132,Arc,2.61,N,60.43,13.73,13.55,M,Bailey,,,,,0.28467944,0.39771277,0.49298782,0.53048333,1.82277644,6.71299792,,,,,,,,,,,,,,,,
S180133,Arc,2.99,N,67.57,14.01,14.9,F,Bailey,,,,,0.30684379,0.39820783,0.44560604,0.52664675,1.85932505,7.25556778,,,,,,,,,,,,,,,,
S180134,Arc,2.64,N,66.88,13.98,14.9,F,Bailey,,,,,0.26070199,0.3997659,0.42496876,0.48283516,1.76435851,7.11646042,,,,,,,,,,,,,,,,
S180135,Arc,0.69,N,42.64,9.05,9.64,M,Bailey,,,,,0.18577528,0.34163803,0.3598615,0.44941685,1.41625013,4.53006873,,,,,,,,,,,,,,,,
S180136,Arc,1.13,N,44.83,11.02,10.06,F,Bailey,,,,,0.17468977,0.28036306,0.2857083,0.37406196,1.21289775,4.78092378,,,,,,,,,,,,,,,,
S180137,Arc,0.74,N,43.38,8.68,8.85,F,Bailey,,,,,0.18228055,0.26044541,0.27426677,0.36695576,1.27073204,4.60753589,,,,,,,,,,,,,,,,
S180138,Arc,0.68,N,39.88,8.99,9.96,M,Bailey,,,,,0.18826679,0.237827,0.32128867,0.35552604,1.24856591,4.23928435,,,,,,,,,,,,,,,,
S180139,Arc,0.95,N,43.55,9.76,8.64,F,Bailey,,,,,0.16560233,0.25621785,0.276116,0.35252595,1.17287848,4.50606519,,,,,,,,,,,,,,,,
S180140,Arc,0.6,N,39.25,8.54,8.44,U,Bailey,,,,,0.17694337,0.25061785,0.28906461,0.34643621,1.1725094,4.17927457,,,,,,,,,,,,,,,,
S180141,Arc,0.84,N,42.67,10.58,9.26,U,Louis,2.07,4.77,24,Grant,0.19761374,0.31749562,0.3418547,0.37327327,1.32097623,4.6156074,,,,,,,,,,,,,,,,
S180142,Arc,0.96,N,46.62,10.76,7.8,F,Louis,,,,,0.18167162,0.29123445,0.30455721,0.34877633,1.30132761,4.904382,,,,,,,,,,,,,,,,
S180143,Arc,1.08,N,45.53,10.45,8.72,F,Louis,,,,,0.1729155,0.29256074,0.30182177,0.39120744,1.35368352,4.97136563,,,,,,,,,,,,,,,,
S180144,Arc,0.64,N,38.4,9.07,8.44,U,Louis,,,,,0.18069679,0.30012949,0.32135911,0.36619152,1.31347603,4.28856284,,,,,,,,,,,,,,,,
S180145,Arc,1.57,N,50.31,11.96,9.75,F,Louis,,,,,0.20552662,0.26556141,0.33002309,0.39492487,1.39799004,5.41529891,,,,,,,,,,,,,,,,
S180146,Arc,0.81,N,43.41,10.47,8.92,U,Louis,1.96,4.75,22,Grant,0.19507723,0.29127076,0.33721276,0.3767558,1.3512017,4.67059659,,,,,,,,,,,,,,,,
S180147,Arc,1.89,Y,55.29,13.9,12.08,M,Louis,2.85,6.31,24,Grant,0.25845766,0.42115931,0.49019454,0.49468719,1.88064193,6.08468635,,,,,,,,,Brown spot left fin,,,,,,,
S180148,Arc,2.01,N,57.93,13.74,12.61,M,Louis,,,,,0.2579883,0.39825428,0.46464719,0.47426823,1.87272371,6.30002683,,,,,,,,,,,,,,,,
S180149,Arc,2.91,N,56.73,15.41,11.16,F,Louis,,,,,0.26088178,0.32615423,0.42258063,0.47867333,1.69591358,6.53369463,,,,,,,,,,,,,,,,
S180150,Arc,1.32,N,46.91,11.65,8.42,F,Louis,,,,,0.17633881,0.25972443,0.34624739,0.40632341,1.38657118,5.13498307,,,,,,,,,,,,,,,,
S180151,Arc,0.51,N,37.55,9.02,6.56,F,Louis,,,,,0.16730325,0.25538871,0.29669403,0.33082811,1.11724851,4.04481126,,,,,,,,,,,,,,,,
S180152,Arc,0.88,N,42.93,10.08,8.73,F,Louis,,,,,0.17903634,0.27039198,0.31418057,0.35038639,1.18301665,4.76068964,,,,,,,,,"Seems like a nematode emerged from an egg inside the abdomen, the egg look like a tumor",,,,,,,
S180153,Arc,0.74,N,43.81,9.56,7.07,F,Louis,,,,,0.16825014,0.28241987,0.29657826,0.37505545,1.1915225,4.83770722,,,,,,,,,,,,,,,,
S180154,Arc,0.81,N,42.91,11.02,9.48,M,Louis,,,,,0.20027403,0.35173983,0.36208055,0.42016959,1.35543664,4.59177395,,,,,,,,,,,,,,,,
S180155,Arc,0.63,N,42.9,8.56,8.25,F,Louis,,,,,0.16764327,0.27974162,0.29135227,0.35633569,1.19302637,4.62569237,,,,,,,,,,,,,,,,
S180156,Arc,2.19,N,56.2,14.32,11.07,F,Louis,2.3,5.72,24,Grant,0.23838022,0.37097132,0.39846979,0.48651131,1.64062137,6.244628,,,,,,,,,,,,,,,,
S180157,Arc,1.07,N,47.34,10.75,10.12,F,Louis,2.75,4.85,22,Grant,0.19629972,0.26874028,0.32281891,0.40264557,1.35031275,5.00087807,,,,,,,,,,,,,,,,
S180158,Arc,2.9,N,63.94,16.56,14.23,M,Louis,3.09,6.94,24,Grant,0.3203529,0.4449317,0.48177931,0.52162161,1.95664741,6.87487956,,,,,,,,,,,,,,,,
S180159,Arc,2.66,N,63.56,15.68,12.53,F,Louis,2.77,6.5,25,Grant,0.27120833,0.3328771,0.43434135,0.50440307,6.83844227,6.80215892,,,,,,,,,,,,,,,,
S180160,Arc,0.87,N,45.38,10.54,8.5,F,Louis,,,,,0.17822564,0.29043318,0.3282574,0.36316412,1.3640213,4.91797438,,,,,,,,,,,,,,,,
S180161,Arc,0.43,N,33.39,7.69,7.14,U,Bailey,1.32,3.85,23,Grant,0.15892345,0.23012941,0.25443231,0.32076221,1.02763617,3.71669315,,,,,,,,,,,,,,,,
S180162,Arc,2.67,N,59.63,14,12.21,F,Bailey,2.46,6.22,19,Grant,0.23762679,0.36756232,0.39972175,0.45978384,1.65861167,6.35664005,,,,,,,,,,,,,,,,
S180163,Arc,2.78,N,60.88,14.33,12.76,F,Bailey,,,,,0.23674193,0.33502055,0.39844804,0.48948453,1.74911892,6.44620429,,,,,,,,,,,,,,,,
S180164,Arc,0.95,N,42.47,9.83,8.85,F,Bailey,,,,,0.17655419,0.25082727,0.26833228,0.36506364,1.15219241,4.5441956,,,,,,,,,,,,,,,,
S180165,Arc,0.98,N,46.72,10.07,8.67,F,Bailey,,,,,0.19094004,0.25789271,0.31065828,0.35670776,1.24429913,4.90493346,,,,,,,,,,,,,,,,
S180166,Arc,1.56,N,50.87,12.03,10.78,M,Bailey,,,,,0.22684784,0.30486595,0.38210074,0.44285983,1.49889814,5.42706299,,,,,,,,,,,,,,,,
S180167,Arc,2.62,N,61.06,13.64,14.19,M,Bailey,3.68,6.72,24,Grant,0.2631209,0.45248881,0.4872696,0.5083047,1.85158284,6.35494116,,,,,,,,,,,,,,,,
S180168,Arc,0.75,N,45.17,8.99,8.79,F,Bailey,,,,,0.17498639,0.25457044,0.31320177,0.38241319,1.20395198,4.83403781,,,,,,,,,,,,,,,,
S180169,Arc,2.31,N,56.81,13.14,13.12,M,Bailey,3.3,6.54,25,Grant,0.25907084,0.38757328,0.49089688,0.49177491,1.83671203,6.26038788,,,,,,,,,,,,,,,,
S180170,Arc,2.17,N,58.21,13.98,12.84,M,Bailey,,,,,0.27319075,0.3999698,0.49133716,0.53135757,1.90616424,6.33658288,,,,,,,,,,,,,,,,
S180171,Arc,1.4,N,50.3,11.84,11.52,M,Grant,,,,,0.25379002,0.39126185,0.4353586,0.46265531,1.66696937,5.64160639,,,,,,,,,,,,,,,,
S180172,Arc,1.16,N,45.31,10.28,8.81,F,Grant,,,,,0.18286462,0.26968993,0.28226905,0.37820153,1.14056032,4.94487621,,,,,,,,,,,,,,,,
S180173,Arc,1.15,N,45.91,10.37,8.98,F,Grant,2.34,4.85,20,Grant,0.1888609,0.2808507,0.31013856,0.38082319,1.22995561,4.9514296,,,,,,,,,,,,,,,,
S180174,Arc,2.26,N,61.63,13.78,11.21,F,Grant,,,,,0.25650497,0.34872058,0.42068649,0.47226791,1.74732386,6.62819856,,,,,,,,,,,,,,,,
S180175,Arc,2.16,N,60.28,13.93,12.33,M,Grant,,,,,0.26997575,0.38626724,0.51286845,0.50223822,1.88342005,6.39320093,,,,,,,,,,,,,,,,
S180176,Arc,2.06,N,56.34,13.32,12.39,M,Grant,,,,,0.26589436,0.40703272,0.46011585,0.49210934,1.76070572,5.94570947,,,,,,,,,,,,,,,,
S180177,Arc,1.06,N,43.14,10.14,7.68,F,Grant,,,,,0.1684427,0.24223486,0.26814091,0.35704938,1.14942713,4.68530834,,,,,,,,,,,,,,,,
S180178,Arc,0.75,N,44.99,9.18,8.89,F,Grant,,,,,0.17518315,0.28710944,0.31909987,0.37608199,1.21837157,4.82790059,,,,,,,,,,,,,,,,
S180179,Arc,0.94,N,39.77,9.88,8.47,M,Grant,,,,,0.18366826,0.29717769,0.35640578,0.3750758,1.35636855,4.6776896,,,,,,,,,,,,,,,,
S180180,Arc,1.06,N,44.1,10.8,9.38,M,Grant,,,,,0.20914671,0.32707099,0.41464984,0.42140509,1.48950543,5.08946713,,,,,,,,,,,,,,,,
S180181,Arc,0.6,N,40.04,9.22,7.47,F,Louis,,,,,0.17536122,0.23070628,0.29171073,0.35473449,1.14611841,4.30434736,,,,,,,,,,,,,,,,
S180182,Arc,2.37,N,61.6,16.17,11.21,F,Louis,,,,,0.25633745,0.39967304,0.43013949,0.46660368,1.64547993,6.5555933,,,,,,,,,,,,,,,,
S180183,Arc,1.57,N,52.09,12.49,10.9,M,Louis,,,,,0.24130463,0.37689712,0.47326997,0.48564252,1.75232551,5.62227272,,,,,,,,,,,,,,,,
S180184,Arc,0.61,N,39.66,9.26,8.39,U,Louis,,,,,0.16856812,0.27440701,0.28038631,0.38521085,1.23501839,4.22100975,,,,,,,,,Yellow mucus in the abdomen,,,,,,,
S180185,Arc,0.79,N,44.44,10.77,8.84,F,Louis,,,,,0.17781473,0.28854918,0.31093593,0.37814947,1.32955957,4.89752733,,,,,,,,,,,,,,,,
S180186,Arc,0.69,N,43.52,9.63,8.64,F,Louis,,,,,0.17619096,0.26602787,0.28474501,0.3768418,1.20161861,4.72118386,,,,,,,,,,,,,,,,
S180187,Arc,0.59,N,39.74,9.34,8.71,F,Louis,,,,,0.17126971,0.27476467,0.29130032,0.35155644,1.14879943,4.19012784,,,,,,,,,,,,,,,,
S180188,Arc,0.69,N,43.98,9.94,8.9,F,Louis,,,,,0.17629704,0.2387171,0.32137061,0.37497716,1.21814508,4.75781662,,,,,,,,,,,,,,,,
S180189,Arc,0.83,N,44.17,10.08,8.55,F,Louis,,,,,0.18978114,0.29481606,0.33442862,0.37152184,1.3509008,4.80515339,,,,,,,,,,,,,,,,
S180190,Arc,0.64,N,40.25,9.23,8.76,M,Louis,,,,,0.19254153,0.2847547,0.29094152,0.33711506,1.17619331,4.29829072,,,,,,,,,,,,,,,,
S180191,Arc,0.6,N,39.56,8.51,7.28,F,Grant,,,,,0.15403717,0.26583749,0.30096413,0.33643566,1.1376359,4.55229464,,,,,,,,,,,,,,,,
S180192,Arc,0.83,N,44.62,9.51,8.6,F,Grant,,,,,0.17110378,0.28136413,0.30702035,0.36516734,1.2282149,4.82174131,,,,,,,,,,,,,,,,
S180193,Arc,0.65,N,37.12,8.94,7.71,M,Grant,,,,,0.17208956,0.31036681,0.34885389,0.39129857,1.29323488,4.19801323,,,,,,,,,,,,,,,,
S180194,Arc,0.87,N,46.57,9.33,8.43,F,Grant,,,,,0.17531088,0.3130169,0.34995263,0.36076569,1.28126823,4.99437935,,,,,,,,,,,,,,,,
S180195,Arc,0.48,N,38.24,8.14,8.09,F,Grant,,,,,0.15730139,0.25230705,0.27732681,0.3336947,1.12415355,4.14139769,,,,,,,,,,,,,,,,
S180196,Arc,0.65,N,37.66,8.65,7.48,F,Grant,,,,,0.17637768,0.23950456,0.27923142,0.33270579,1.1168193,4.15930098,,,,,,,,,,,,,,,,
S180197,Arc,0.52,N,37.61,7.94,7.45,M,Grant,,,,,0.1680249,0.25293011,0.29674184,0.33543686,1.1063527,4.01988583,,,,,,,,,,,,,,,,
S180668,Corcoran,0.98,N,46.17,10.56,10.48,F,Louis,,,,,0.21812973,0.39510239,0.37347933,0.42421349,1.37850391,4.99915895,,,,,,,,,,,,,,,,
S180669,Corcoran,1.02,N,46.95,10.36,11.41,M,Louis,,,,,0.19550284,0.39868363,0.40896611,0.43712763,1.49980466,4.97778007,,,,,,,,,,,,,,,,
S180670,Corcoran,0.69,N,44.8,8.94,9.98,F,Louis,,,,,0.18149042,0.35128933,0.35596594,0.39762037,1.30349549,4.75624545,,,,,,,,,,,,,,,,
S180671,Corcoran,0.44,N,36.93,7.74,8.45,U,Louis,,,,,0.14911404,0.29062555,0.35962476,0.33799732,1.19115581,4.00049952,,,,,,,,,,,,,,,,
S180672,Corcoran,0.46,N,37.47,7.83,8.38,F,Louis,,,,,0.17186006,0.29372446,0.31779845,0.3434484,1.103491,4.05625054,,,,,,,,,,,,,,,,
S180673,Corcoran,0.43,N,36.2,8.14,8.79,M,Louis,,,,,0.18262333,0.30714046,0.31225316,0.35905191,1.17583886,3.8555136,,,,,,,,,,,,,,,,
S180674,Corcoran,0.29,N,31.59,6.86,7.89,U,Louis,,,,,0.14431323,0.24302663,0.27553182,0.27852643,0.99252435,3.44693814,,,,,,,,,,,,,,,,
S180675,Corcoran,0.44,N,34.88,8.18,8.73,M,Louis,,,,,0.17135873,0.34165582,0.3420097,0.34326189,1.2304074,3.86843352,,,,,,,,,,,,,,,,
S180677,Corcoran,1.07,N,47.65,11.36,10.6,F,Louis,,,,,0.2218362,0.40425974,0.34944254,0.38847282,1.40031028,5.08286765,,,,,,,,,,,,,,,,
S180678,Corcoran,0.7,N,40.82,9.59,9.94,M,Louis,,,,,0.195461,0.44344003,0.3063688,0.44516059,1.39119511,4.4172766,,,,,,,,,,,,,,,,
S180679,Corcoran,1.26,N,51.12,11.51,10.88,F,Louis,,,,,0.21046487,0.37109702,0.34958572,0.36752982,1.38320929,5.47700506,,,,,,,,,,,,,,,,
S180680,Corcoran,0.9,N,42.37,10.05,9.23,F,Louis,,,,,0.17256808,0.32864945,0.29014431,0.38478017,1.31690267,4.52223807,,,,,,,,,,,,,,,,
S180681,Corcoran,1.15,N,51.2,11.4,12.59,M,Louis,,,,,0.22247579,0.35268554,0.42300427,0.44961947,1.61869561,5.39849099,,,,,,,,,,,,,,,,
S180682,Corcoran,0.88,Y,45.7,9.54,11.23,M,Louis,,,,,0.20425648,0.29613833,0.34571854,0.40730435,1.44432567,4.85155482,,,,,,,,,Brown spot left side of the tail,,,,,,,
S180683,Corcoran,0.62,N,37.37,9.53,8.85,F,Louis,,,,,0.17337414,0.28163835,0.27858294,0.35921327,1.15689116,4.14318779,,,,,,,,,,,,,,,,
S180684,Corcoran,0.51,N,37.21,8.25,9.37,M,Louis,,,,,0.17560768,0.30071114,0.31680171,0.34704979,1.23611474,4.11981073,,,,,,,,,,,,,,,,
S180685,Corcoran,0.92,N,47.82,9.86,10.82,M,Louis,3.08,5.36,20,Grant,0.24689588,0.35945573,0.40890524,0.42007737,1.46760624,5.09808748,,,,,,,,,,,,,,,,
S180686,Corcoran,1.02,N,48.65,10.47,11.71,M,Louis,2.59,5.55,20,Grant,0.24497296,0.38755945,0.4110117,0.44515863,1.42855204,5.27054244,,,,,,,,,,,,,,,,
S180687,Corcoran,0.39,N,34.02,7.62,7.72,F,Louis,,,,,0.14700709,0.2391402,0.25827033,0.30819268,1.06863578,3.7808125,,,,,,,,,,,,,,,,
S180688,Corcoran,0.96,N,47.01,11.05,10.8,F,Louis,2.72,5.45,20,Grant,0.18201261,0.28559503,0.35043975,0.39796163,1.44044216,5.15216822,,,,,,,,,,,,,,,,
S180689,Corcoran,0.99,N,47.44,10.27,10.99,F,Louis,2.85,5.64,21,Grant,0.19934194,0.28964885,0.35613231,0.40938953,1.36062055,4.98671957,,,,,,,,,,,,,,,,
S180690,Corcoran,1.1,Y,49.12,10.73,13.15,M,Louis,2.97,5.93,21,Grant,0.21825062,0.39873965,0.42250037,0.46855375,1.67820267,5.23828684,,,,,,,,,Little black spots,,,,,,,
S180691,Corcoran,0.83,N,46.14,9.52,10.47,F,Louis,2.56,5.3,19,Grant,0.19879166,0.3210063,0.31781221,0.41303948,1.30313562,4.95484961,,,,,,,,,,,,,,,,
S180692,Corcoran,0.64,N,42.69,8.68,10.52,M,Louis,2.45,4.92,19,Grant,0.19746301,0.27426172,0.36682166,0.39305421,1.34011166,4.61044528,,,,,,,,,,,,,,,,
