FishID,Lake,LatPlNum_L,LatPlNum_R,FirstPl_L,LastPl_L,FirstPl_R,LastPl_R,Pelvic_L,Pelvic_R,PelvicTotal,DS1,DS2,DS3,DS4,DS1Length,DS2Length,PSLLength,PSRLength,Processed_by,
S180101,Arc,27,28,2,29,2,30,4,4,8,1,1,1,0,5.35,5.86,7.82,7.21,Rebecca,
S180102,Arc,23,24,2,25,2,26,4,4,8,1,1,1,0,6.06,5.15,7.81,7.97,Rebecca,
S180103,Arc,26,26,2,28,2,28,4,4,8,1,1,1,0,6.68,6.55,7.75,8.44,Rebecca,
S180104,Arc,24,26,2,26,2,28,4,4,8,1,1,1,0,6.16,7.41,9.02,9.34,Rebecca,
S180105,Arc,25,23,2,27,2,25,4,4,8,1,1,1,0,4.75,5.26,7.01,7.18,Rebecca,
S180106,Arc,23,24,2,25,2,26,4,4,8,1,1,1,0,4.23,4.69,6,6.22,Rebecca,
S180107,Arc,28,27,2,30,2,29,4,4,8,1,1,1,0,4.3,4.34,5.1,5.55,Rebecca,
S180108,Arc,29,32,1,30,1,33,4,4,8,1,1,1,0,4.14,4.74,5.75,5.89,Rebecca,
S180109,Arc,,,,,,,,,,,,,,,,,,,
S180110,Arc,27,28,1,28,1,29,4,4,8,1,1,1,0,5.21,4.75,6.42,6.82,Rebecca,
S180111,Arc,30,28,2,31,2,27,4,4,8,1,1,1,0,3.49,4.08,5.58,5.74,Greig,
S180112,Arc,,,,,,,,,,,,,,,,,,,
S180113,Arc,34,32,1,34,2,33,4,4,8,1,1,1,0,5.63,5.81,8.25,7.89,Ismail,
S180114,Arc,25,25,2,27,2,27,4,4,8,1,1,1,0,7.6,7.31,8.67,8.73,Rebecca,
S180115,Arc,23,23,3,26,3,26,4,4,8,1,1,1,0,5.57,6.15,8.25,8.04,Rebecca,
S180116,Arc,26,26,2,28,2,28,4,4,8,1,1,1,0,6.37,6.17,7.86,7.79,Rebecca,
S180117,Arc,,,,,,,,,,,,,,,,,,,
S180118,Arc,,,,,,,,,,,,,,,,,,,
S180119,Arc,27,27,1,27,1,27,4,4,8,1,1,1,0,4.34,4.8,6.54,6.51,Ismail,
S180120,Arc,23,23,3,26,3,26,4,4,8,1,1,1,0,4.38,4.46,5.89,5.46,Rebecca,
S180121,Arc,29,28,2,31,2,30,4,4,8,1,1,1,0,5.85,5.79,7.33,7.47,Rebecca,
S180122,Arc,27,25,1,28,1,26,4,4,8,1,1,1,0,6.3,5.65,7.22,7.71,Rebecca,
