Lake,Depth (ft),Depth (m),Image Area,Map area (acres),Area (hectares),map area scale factor,,notes
Engineer,0,0,17.235,240,97.12455414,13.92515231,,240 ac. Is area listed on map
Engineer,-5,-1.523999951,15.254,212.4142733,85.9610066,13.92515231,,
Engineer,-10,-3.047999902,7.585,105.6222802,42.74382032,13.92515231,,
Engineer,-15,-4.571999854,2.074,28.88076588,11.68763129,13.92515231,,
Engineer,-19,-5.791199815,0,0,0,13.92515231,,
Finger,0,0,9.826,,135.690576,13.80934012,,area from Derry database
Finger,-10,-3.047999902,4.964,,68.54956435,13.80934012,,area from Derry database
Finger,-20,-6.095999805,2.368,,32.7005174,13.80934012,,area from Derry database
Finger,-30,-9.143999707,0.808,,11.15794682,13.80934012,,area from Derry database
Finger,-40,-12.19199961,0.141,,1.947116957,13.80934012,,area from Derry database
Finger,-44,-13.41119957,0,,0,13.80934012,,area from Derry database
G,0,0,26.055,15.8,6.394033147,0.606409518,,Area and max depth from box on map
G,-3,-0.914399971,22.89,13.88071387,5.617325609,0.606409518,,
G,-6,-1.828799941,22.308,13.52778353,5.474499768,0.606409518,,
G,-9,-2.743199912,18.239,11.0603032,4.475945906,0.606409518,,
G,-12,-3.657599883,16.453,9.977255805,4.037652173,0.606409518,,
G,-15,-4.571999854,15.256,9.251383612,3.743902118,0.606409518,,
G,-18,-5.486399824,13.877,8.415144886,3.405488313,0.606409518,,
G,-21,-6.400799795,12.215,7.407292266,2.997624828,0.606409518,,
G,-24,-7.315199766,10.271,6.228432163,2.52055707,0.606409518,,
G,-27,-8.229599737,7.625,4.623872577,1.871214844,0.606409518,,
G,-30,-9.143999707,2.578,1.563323738,0.632654671,0.606409518,,
G,-31.4,-9.570719694,0,0,0,0.606409518,,
Jean,0,0,14.078,133.7464125,54.12525285,9.500384468,,"measurements listed on map in meters, 2.55 length = 500m, 1 sq km or 247.105 acres = 26.01 "
Jean,-9.84252,-3,10.263,97.50244579,39.45783989,9.500384468,,
Jean,-49.2126,-15,6.97,66.21767974,26.79734425,9.500384468,,
Jean,-65.6168,-20,1.843,17.50920857,7.085725317,9.500384468,,
Jean,-69.881892,-21.3,0,0,0,9.500384468,,
Long,0,0,50942,,16.877993,0.000331318,,area from Derry database
Long,-5,-1.523999951,34883,,11.55735994,0.000331318,,area from Derry database
Long,-10,-3.047999902,23325,,7.727988432,0.000331318,,area from Derry database
Long,-15,-4.571999854,8668,,2.871862968,0.000331318,,area from Derry database
Long,-17,-5.181599834,2449,,0.811397371,0.000331318,,area from Derry database
Long,,-7.9,0,,0,0.000331318,,area from Derry database
